번호,운영기관명,상품명,운영기관구분,상품구분,학자금유형구분,문의처,대학구분,학년구분,학과구분,성적기준,소득기준,지원금액,특정자격,지역거주여부,신청기간,선발방법,선발인원,자격제한,추천필요여부,제출서류
"1,995",대구한의대학교,한가족장학금,대학교,장학금,기타, - 053-819-1046 - (대학원)043-819-1568,특정대학,"대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,대학신입생","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음"," - 주민등록상 한가족(직계가족)중 2명 이상이 우리 대학교에 2020-1학기 등록을 하고, 신청자의 직전학기 성적이 평점평균 2.0(한의예학과 실점수 70점)이상인 자 * 신·편입생 성적무관",," - 한가족 2명일 경우 : 신청자 1명에게 1,000,000원 지급 - 한가족 3명이상일 경우 : 신청자 1명에게 1,500,000원 지급  * 등록금범위 내 지급"," - 주민등록상 한가족(직계가족)중 2명 이상이 우리 대학교에 2020-1학기 등록을 하고, 신청자의 직전학기 성적이 평점평균 2.0(한의예학과 실점수 70점)이상인 자 * 등록휴학 신청 가능",, - 2020-04-10 ~ 2020-05-20,,, - 졸업연기 및 학기초과자 제외,, - 한가족장학금 신청서 - 주민등록등본 또는 가족관계증명서(최근 1개월이내 발급분) 
"1,996",재단법인 석성장학회,석성장학생,민간(기타),장학금,소득구분, - 02-3485-8800,4년제(5~6년제포함),"대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,대학신입생","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음",,,, - 경제적 형편이 어려운 학생,, - 2020-01-20 ~ 2020-03-31,,,,," - 장학금 수혜지원서 1부 - 추천서(학교장 직인 필수) 1부 - 서약서 1부 - 성적증명서 1부 - 주민등록등본 1부 - 통장사본 1부 - 봉사활동확인서 1부*우편제출서울시 서초구 서초대로 271, 502호"
"1,997",원광대학교,가족사랑장학금,대학교,장학금,기타, - 장학복지과 063-5242~3,특정대학,"대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음"," - 15학점 이상 이수하고, 평점 2.5 이상인 자",, - 2촌 이내 가족 2인이 학부에 재학 : 등록금의 25% 지원 - 2촌 이내 가족 3인이 학부에 재학 : 등록금의 35% 지원, - 2020-1학기에 2촌 이내 가족이 학부에 원광대학교 학부에 재학 중인 경우,, - 2020-04-01 ~ 2020-04-22 17:00까지,,,,, * 교내 장학금으로 학교 홈페이지 장학공지 참고 필수 - 가족장학금 신청서(인터넷 작성) - 주민등록등본 또는 가족관계증명서
"1,998",원광대학교,장애인및장애인자녀장학금,대학교,장학금,기타, - 063-850-5242,특정대학,"대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,대학신입생","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음"," - 15학점 이상 이수하고, 평점 2.5 이상인 자 * 신입생에 한해 성적기준 없음.",, - 등록금의 50%," - 원광대학교 재학생 - 장애 1,2급 대상자(학생 본인 및 부모)",, - 2020-01-10 ~ 2020-01-18,,,,,"* 신청시 학교 장학 담당자에게 문의 필수. - 장애인증명서 - 주민등록등본(부모와 주소지가 다를 경우 가족관계증명서) * 기존에 장애인 장학금을 수혜 받았던 학생은 따로 서류 제출하지 않아도 성적 조건 충족시 장학대상자로 선발. 단, 학적변동자는 장학복지팀으로 신청"
"1,999",원광대학교,장학사정관제장학금,대학교,장학금,소득구분, - 063-850-5242~3,특정대학,"대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음"," - 직전학기 12학점 이상, 평균평점 1.70 이상 취득 - 정규학기 이내 재학생(일반계열 8학기, 건축학과 10학기, 의약학계열 12학기)"," - 급격한 경제사정 악화(2017년 이후 부도, 파산) - 직계가족 장기투병(2018년 이후 3개월 이상 계속 입원치료)",, - 원광대학교 재학생,, - 2018. 10. 22. (월) ~ 2018. 11. 02. (금), - 장학금 사정관위원회 심의로 선발,, *외부 장학금 수혜자도 등록금 범위 내에서 중복수혜 가능,," - 장학금 신청서 - 주민등록등본 - 보호자 건강보험료 납부확인서 - 보호자 재산세 납입증명서 - 통장사본 - 기타 신청 사유를 증명할 수 있는 증빙서류(부도, 파산증명서, 입원, 요양확인서 등) - 지도교수상담내역서*접수처 : 각 단과대학 교학과"
"2,000",덕성여자대학교노동조합,노동조합장학금,민간(기타),장학금,기타,02-901-8054,"4년제(5~6년제포함),특정대학","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음",,,1인당 100만원 / 2019년 2학기, - 덕성여대 재학생*가정형편이 어려운 학생이나 성적이 우수한 학생의 경우 우선 선발,, - 2019. 05. 01 ~ 2019. 05. 17까지,서류심사,3명,,,* 교내장학금으로 신청시 학교 장학 담당자에게 문의 필수  - 신청서 방문 접수
"2,001",덕성여자대학교총동창회,장학생,민간(기타),장학금,기타, - 덕성여대 총동창회 사무실 02) 742-7356,"4년제(5~6년제포함),특정대학","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음",,, - 1인 100만원, - 2학년 이상을 대상으로 함 (2019학년도 1학기 등록자) - 각 단대별 1인씩 선발 ,, - 2019. 05. 15(수) ~ 05. 30(목), - 총동창회 직접선발, - 각 단대별 1인씩 선발, - 기수여자와 100만원 이상의 교내외 장학금을 받았을 경우는 제외,," - 성적증명서(2018학년도 2학기) - 자기소개서 A4 2매 이내 - 주민등록등본 * 교내장학금으로, 자세한 사항은 덕성여자대학교 장학게시판 참고"
"2,002",덕성여자대학교,덕성인재장려장학금,대학교,장학금,기타, - 02-901-8053,특정대학,"대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음", - 직전학기 성적 2.0 이상, - 국가장학금 소득분위 8분위 이하 가정형편이 어려운 학생," - 0~2분위 등록금 25%, 3~5분위 등록금 3% * 지급방법 : 2018학년도 2학기 등록금 고지서 감면", - 덕성여자대학교 재학생 - 2020-1학기 국가장학금을 반드시 신청해야함,, - 2019-12-11 ~ 2020-01-03,,,, * 학과 지도교수/전공교수와 상담 및 장학금 신청서 제출 절차 폐지," * 온라인 신청 : 덕성포탈-학사행정 인트라넷-장학관리-장학금신청 * 학과 지도교수/전공교수와 상담 및 장학금 신청서 제출 절차 폐지 * 교내장학금으로, 덕성여자대학교 장학게시판 참고"
"2,003",덕성여자대학교,재능장학금,대학교,장학금,기타, - 02) 901-8053,특정대학,"대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,대학신입생","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음",,," - 1~4인 : 500,000원 - 5~9인 : 1,000,000원 - 10인 이상 : 1,500,000원 * 팀 인원은 우리대학 재학생 인원을 기준으로 함"," - 국제, 전국규모의 대회 또는 공모전 등에서 3위 이상 입상한 학생 - 재학 중(8학기 이내) 수상경력 인정기간 내에 수상으로 휴학 중 수상경력은 가능하나 신편입생의 경우 입학 이후 수상경력만 인정",, - 2020-05-11 ~ 2020-05-29," - 신청자 중 대회규모, 수상순위 등을 고려하여 선발 예정"," * 신청인원, 예산범위에 따라 선발인원 변동", - 다수 수상경력이 있는 경우에도 연 1회에 한하여 장학수혜 가능(직전학기 수상자 신청 불가),," - 재능장학금 신청서 - 수상 증빙서류 원본 - 대회 개최 관련 안내문/포스터/게시물 등 1부 * 제출장소 : 학생지원과(학생회관 2층) * 교내장학금으로, 자세한 사항은 덕성여자대학교 장학게시판 참고"
"2,004",덕성여자대학교,언어능력우수장학금,대학교,장학금,기타, - 학생지원과(학생회관2층) 02) 901-8053,특정대학,"대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,대학신입생","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음",1. 한 국 어 - 한국어능력시험 2+급 이상 취득자 - ToKL(국어능력인증시험) 2급 이상 취득자2. 독 일 어 - Goethe-Zertifiakt B1 이상 취득자 - TELC DEUTSCH　B1 이상 취득자3. 영 어 - TOEIC 930 이상 취득한자 - TOEFL(IBT) 106 이상 취득한자 - TEPS 872 이상 취득한자 또는 New TEPS 502점 이상 취득자4. 프랑스어 - D.E.L.F B2 이상 취득자5. 일 본 어 - JLPT N1 합격자중 총점 150점 이상 - JPT 990점 만점에 825점 이상6. 중 국 어 - 新HSK 6급 이상자 중 220점 이상 취득자7. 스페인어 - D.E.L.E B2 이상 취득자,," - 1인당 500,000원 * 타 장학금과 중복수혜 가능함(등록금 초과 가능) * 재학 중 언어별 1회, 2개 이상 외국어 자격취득 시에도 이중수혜 가능"," - 덕성여자대학교 8학기 이내 재학생 - 자격증 취득기간 : 2019. 3. 1 ~ 2020. 6. 12 * 취득기간 이내 자격에 한하여 인정(휴학 중 취득 가능)하며, 신편입생의 경 우 입학 전 취득자격 신청 불가 ",, - 2020-05-25 ~ 2020-06-12 18:00까지,, - 인원 제한 없이 신청기준을 충족하면 선발함," - 취득기간 이내 자격에 한하여 인정하며, 신·편입생의 경우 입학 전 취득자격 신청 불가",," - 언어능력우수장학금 신청서(소정양식) - 합격 증빙서류 원본 * 자세한 사항은 교내장학금으로, 덕성여자대학교 장학게시판 참고 * 신청서를 작성하여 합격증빙서류 원본과 함께 학생지원과(학생회관 2층)로 제출"
"2,005",덕성여자대학교,도봉덕성장학금,대학교,장학금,지역연고, - 학생지원과(학생회관 2층) : 02-901-8053,특정대학,"대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,대학신입생","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음",,," - 1인당 1,000,000원", - 가정형편이 어려운 자 - 학업성적이 우수한 자, - 덕성여자대학교 재학생으로서 본인 및 보호자가 도봉구에 2년 이상 주민등록을 두고 거주하는 자, - 2020-04-07 ~ 2020-04-27,, - 7명 * 운영위원회에서 선발인원 및 지급금액이 조정될 수 있음, * 8학기 내 재학생만 수혜가능 * 8학기 내 최대 수혜횟수 2회로 제한,," - 주민등록등본 (주민등록번호 뒷자리 미포함, 주소변동내역 포함)"
"2,006",덕성여자대학교,덕성사랑장학금,대학교,장학금,소득구분, - 02-901-8053,특정대학,"대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,대학신입생","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음", - 직전학기 성적 2.0 이상(재학생), - 국가장학금 소득분위 8분위 이하 가정형편이 어려운 학생 * 국가장학금 소득분위 0~6분위 이하 선발 * 6~8분위는 잔여 장학예산 발생시 추가선발, - 0~3분위 등록금 25% - 4~6분위 등록금 15%, - 덕성여자대학교 재학생중 소득기준을 만족하고 직전학기 성적 2.0 이상 8학기 이내 재학생,, - 2020-05-01 ~ 2020-05-21,,, - 전액장학생 신청 불가 - 8학기이상 초과학기 학생 신청 불가 - 덕성인재장려장학금 수햬자 신청 불가,," * 교내장학금으로, 신청시 학교 장학 담당자에게 문의 필수 - 온라인 신청 : 덕성포털-차세대 포털시스템 로그인-통합정보-장학-장학금신청 - 신청서류 별도 없음"
"2,007",덕성여자대학교,덕성가족장학금,대학교,장학금,기타, - 02-901-8053,특정대학,"대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음", - 직전학기 성적 2.5 이상,," - 1인당 500,000원(등록금 범위 내)", - 본교에 자매가 동시에 재학하게 된 경우 - 어머니가 우리학교 동문인 경우 - 자매가 우리학교 대학원에 재학 중인 경우에도 학부 재학생은 신청 가능,, - 2020-04-07 ~ 2020-04-27,, - 7명, - 기존 덕성가족장학금 신청학생들은 재신청 불요 - 신입생은 성적요건 충족 시 2학기부터 지급 - 8학기 초과학기생은 수혜불가,," - 가족관계증명서 1부 (주민번호 뒷자리 '*'표기된 자료로 제출) - 동문자녀인 경우, 어머니의 졸업증명서 1부 * 제출서류 구비하여 학생지원과(학생회관 2층)로 제출"
"2,008",덕성여자대학교,사회봉사장학금,대학교,장학금,기타, - 02) 901-8053,특정대학,"대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음",,," - 인당 1,000,000원 * 등록금 초과 가능", - 덕성여자대학교 8학기 이내 재학생 - 덕성여자대학교 교내·외에서 봉사활동에 적극적으로 참여하고 있는 자 또는 단체 - 봉사시간이 총 400시간 이상인 학생,, - 2020-03-30 ~ 2020-04-17," - 봉사시간이 총 400시간 이상인 학생들 중에서, 학생들이 제출한 봉사시간 및 봉사내용등을 평가하여 봉사실적이 우수한 학생에게 1번만 지급", * 신청 상황에 따라 변동, - 8학기 초과 수혜불가,, - 사회봉사장학금 신청서 - 사회봉사확인서 (VMS또는 1365봉사내역은 인증서로 대체 가능) - 봉사활동 보고서 (A4-1장 자유양식) * 제출서류 구비하여 학생지원과(학생회관 2층)로 제출
"2,009",덕성여자대학교,복지장학금,대학교,장학금,기타, - 02-901-8053,특정대학,"대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,대학신입생","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음",,," - 1인당 1,000,000원 (등록금 초과 가능)", - 장애인복지법에 따른 장애등급 중증 또는 경증 장애 학생 - 북한이탈주민(새터민) - 재학학기 기준으로 8학기 이내 재학생,, - 2020-03-27 ~ 2020-04-16,,," - 휴학생, 9학기 이상 재학생, 수료생, 졸업생 신청 불가",, * 시스템 신청으로 별도 제출 서류 없음
"2,010",덕성여자대학교,장학사정관제도,대학교,장학금,기타, - 학생지원과 02) 901-8053,특정대학,"대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음", - 직전학기 평점 1.75이상, *소득 9~10분위 또는 국가장학금 미신청자 중 사실상 가정형편 곤란자 - 긴급한 가계곤란 사정 - 본인이 가족을 부양하는 자 - 기초생활수급 또는 차상위계층 *소득 0~8분위 중 국가장학금 미수혜자 - 조건미달으로 국가장학금 탈락한 자," - 등록금 범위 내로 예산현황, 신청인원 등을 고려하여 추 후 확정", - 8학기 이내 - 국가장학금 미수혜자 또는 국가장학금 탈락자로 기존 장학금 대상의 사각지대에 있는 재학생 - 국가장학금 수혜자 중 2020년 1~5월 사이 긴급 경제사전 곤란자는 예외적으로 신청가능,, - 2020-05-14 ~ 2020-06-03 18:00까지,," - 등록금 범위 내로 예산현황, 신청인원 등을 고려하여 추 후 확정",, - 지도교수(또는 학과장) 추천," - 장학금 신청서 - 가족관계증명서(해당자) - 근로소독원천징수영수증 또는 소득금액증명서(해당자) - 건강보험료 납부확인서(해당자) - 건강보험 자격득실확인서(해당자) - 국민기초생활수급 또는 차상위계층증명서(해당자) * 교내장학금으로, 자세한 사항은 덕성여자대학교 장학게시판 참고 * 상기 기재된 서류 이외에도 별도 서류 제출이 요구될 수 있음"
"2,011",덕성여자대학교,파견학생체재비장학생,대학교,장학금,기타," - 02-901-8143, 8216",특정대학,"대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,박사과정,석사2학기이상,석사신입생(1학기),연령제한,제한없음","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음",," - 경제적 지원이 필요한 학생 * 우대 사항: 기초생활수급자, 차상위계층 등 가계곤란 공식 증빙 가능 학생", - 200만원(해외 체재비를 소정 지원), - 2019-2학기 파견학생으로 선발된 재학생 - 해외파견교 덕성 홍보대사 : 본교 홍보물 전달 및 배포(홍보활동 진행 후 활동보고서 제출),, - 2019. 06. 20(목)까지,, - 5명내외, - 휴학생 - 미래에셋 장학금 선발자는 중복 수여 불가,, - 파견학생 장학금 지원서 - 자기소개서 (A4 1장 내외) : 장학금 지원 동기 및 본교 홍보계획 위주로 자유기술 - 소득분위 증명서 - 개인정보활용동의서
"2,012",덕성모아장학회,덕성모아장학금,민간(기타),장학금,기타,,특정대학,"대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,대학신입생","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음",, - 가정형편이 어려운 학생," - 1,000,000원", * 덕성여대 재학생 - 가정형편이 어려운 학생 - 학교 발전에 기여한 학생 - 기타 장학생으로 적합하다고 인정된 학생,, - 2020-05-20 ~ 2020-05-26, - 덕성모아장학회 선발위워노히에서 서류심사로 선발 ( * 필요시 면접할 수 있음), - 2명,,," - 신청서(소정양식) - 자기소개서(소정양식) * 이메일 접수(sta9@duksung.ac.kr) * 자세한 사항은 교외장학금으로, 덕성여자대학교 장학게시판 참고"
"2,013",가천문화재단,심청효행상,민간(기타),장학금,기타,032-820-4167,"4년제(5~6년제포함),전문대(2~3년제)","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,대학신입생","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음",1. 해당 학년 전체 학생 중 상위 50%내에 포함,, - 대상 : 1천만원(부상 및 특전) - 본상 : 5백만원 (부상 및 특전) - 특별상 : 3백만원,1. 대한민국 국적을 가진 만11～24세의 각급 학교(유사학교 포함) 재학중인 여학생,,2018. 09. 05 ~ 2018. 09. 28,,9명, - 최근 3년간 전국 규모 민간단체 효행상 수상자는 제외 - 20인 이상 자율 추천인단의  경우 법적 친인척 불가," - 중앙행정기관 및 광역/지방 자치단체의 장 또는 사회복지담당 부서의 장 - 각 시/도 교육감 및 산하교육장,각급 학교(원)장 - 성균관 유림,전국 향교의 전교,전국 문화원의 대표 - 각 언론기관(방송국/신문사)의 현직 국장급이상 언론인 - 국비 및 지방비 지원을 받는 다문화가족지원센터 소장 및 센터장 - 20인 이상 자율 추천인단"," - 추천서 1부(소정양식) ※추천인명부 1부(추천인단에서 추천할 경우) - 이력서, 효행실적서 각 1부(소정양식), 칼라 증명사진 2매    - 가족관계증명서 1부(전체 가족 표기, 주민등록번호 비공개),  - 생활기록부, 성적증명서 각 1부 - 기타 증빙 자료 및 추가 참고자료(수상 상장 사본, 각종 증명서 사본 등)"
"2,014",가천문화재단,다문화효부상,민간(기타),장학금,기타,032-820-4170/ 820-4168,"4년제(5~6년제포함),기술대학,원격대학,일반대학원,전문대(2~3년제),전문대학원,학점은행제 대학","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,대학신입생","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음",,, - 대상 : 1천만원(부상 및 특전) - 본상 : 5백만원 (부상 및 특전),"1. 결혼 후 대한민국 국적을 취득한 이주민 여성2. 시부모를 정성껏 모셔온 결혼이주여성* 연령, 출신국가 제한없음* 대한민국 국적 미취득시 별도 문의",,2016년 9월 1일(목) ~ 9월 23일(금),,3명, - 20인 이상 자율 추천인단의  경우 법적 친인척 불가," - 중앙행정기관 및 광역/지방 자치단체의 장 또는 사회복지담당 부서의 장 - 각 시/도 교육감 및 산하교육장,각급 학교(원)장 - 성균관 유림,전국 향교의 전교,전국 문화원의 대표 - 각 언론기관(방송국/신문사)의 현직 국장급이상 언론인 - 국비 및 지방비 지원을 받는 다문화가족지원센터 소장 및 센터장 - 20인 이상 자율 추천인단"," - 추천서 1부(소정양식) ※추천인명부 1부(추천인단에서 추천할 경우) - 이력서, 효행실적서 각 1부(소정양식), 칼라 증명사진 2매    - 가족관계증명서 1부(전체 가족 표기, 주민등록번호 비공개)  - 기타 증빙 자료 및 추가 참고자료(수상 상장 사본, 각종 증명서 사본 등)"
"2,015",우석대학교,"교내장학금(우석희망,우석나눔)",대학교,장학금,기타, - 063) 290-1053,특정대학,"대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,대학신입생","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음",,," - 우석희망장학금, 우석나눔장학금 : 국가장학금을 포함한 수업료 전액 지원 (국가장학금을 신청하지 않은 경우 국가장학금 상당액을 제외하고 지급) - 보훈장학금 : 등록금 전액 지원"," - 우석대학교 재학생 - 우석희망A : 보육원 등 복지시설 출신자 - 우석희망B : 기초생활수급자(본인) - 우석희망C : 본인, 배우자, 자녀, 부모, 형제자매 중 차상위계층이 있는 자 - 우석나눔장학금 : 본인 또는 부모의 장애등급이 1~3급이고, 장학재단 소득분위 1분위~5분위에 해당하는 자(국가장학금을 신청해야만 장학금 지급가능)",, - 2020-01-13 ~ 2020-02-03,,,,,"* 교내장학금으로, 신청시 학교 장학 담당자에게 문의 필수 - 장학금 신청서 및 증빙서류 - 통장사본(학과, 수험번호 기재) * 증빙서류는 6월에 발급된 서류에 한함 (한달이내) * 제출처 : 본교 문화관 2층 학생복지팀 / 진천캠퍼스 미래센터 1층 학시지원센터"
"2,016",우석대학교,한가족장학금,대학교,장학금,기타, - 본교 : 063-290-1053 - 진천 : 043-531-2728,"4년제(5~6년제포함),특정대학","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음"," - 취득학점 12학점, 평균평점 80점 이상자 (학점포기 전 평균을 적용함) * 단 수혜학생이 신입생일 경우 성적제한 없음",, - 한가족(2인) 1인에게 수업료 50% - 한가족(3인) 1인에게 수업료 전액 * 한국장학재단 대출자는 대출금 상환을 우선, - 가족의 구성원 중 2명 이상 본교 재학(등록)중인 자,, - 2020-04-01 ~ 2020-04-14,,,,,* 신청시 학교 장학 담당자에게 문의 필수. - 한가족장학금신청서 - 가족관계증명서(부모명의) 1부 - 통장사본 1부(학교포털 등록된 계좌 변경시) * 4월에 발급된 서류에 한함 * 가족관계증명서는 주민번호 뒷자리 생략하여 발급 요망 * 제출처 - 본교 : 문화관 2층 학생복지팀 - 진천 : 미래센터 1층 학사지원센터
"2,017",인제대학교,보훈/직계자녀장학금,대학교,장학금,기타, - 소속 학과 사무실,특정대학,"대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음"," - 보훈자녀는 정규 직전학기 성적(평점평균) 1.88 이상인 재학생 * 단, 본인(배우자) 보훈인 경우는 제외",,, - 인제대학교 재학생 ,, - 2020-03-16 ~ 2020-03-31,,, - 휴학예정인 보훈대상자는 해당학기 등록 불가 - 직계자녀장학금의 경우 임직원의 이전퇴직한 경우 수혜자격 상실,," * 직계자녀 - 재직증명서(2020-03이후 발급) - 주민등록등본 또는 가족관계증명서 * 보훈 - 교육보호 대상자 증명서 또는 대학수업료 면제 대상자 증명서  (신규자만 제출) * 교내장학금으로, 자세한 내용은 인제대학교 장학게시판 참고 * 신청장소 : 학과(부)사무실"
"2,018",인제대학교,정보화소양특별장학금,대학교,장학금,기타,055-320-3744,특정대학,"대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,대학신입생","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음",1. 사무자동화산업기사 - 산업기사자격증2. 정보처리산업기사 - 산업기사자격증3. 정보처리기사 - 기사자격증4. 일반기계기사 - 기사자격증5. 직업상담사 - 2급자격증6. 컴퓨터활용능력 - 1급자격증7. 전산회계 - 1급자격증8. ATC Auto CAD - 1급자격증9. MOS - Master10. 컴퓨터활용능력 - 2급자격증11. ITQ OA   Master12. 워드프로세스 - 자격증13. 전산회계 - 2급자격증14. ATC Auto CAD - 2급자격증15. ACP Photoshop CS6 - 국가공인민간자격증16. 심리상담사 - 2급자격증,,10 ~ 30만원 자격증별 차등 지급* 자세한 금액은 첨부자료 참고,정보화 소양 인정 자격증 취득자 중 재학 중인 학부생 전체,,2017. 05. 29 (월) ~ 2017. 06. 09 (금),,,"휴학, 졸업(수료), 초과학기, 외국인(교환, 단기연수), 대학원 학생 제외 장학금 수혜 가능자에 한하며 대리 신청 불가함",," - NCS직업기초능력 장학금 신청서 - 자격증(성적표) 사본(원본 지참, 대조 확인용) - 본인 통장 사본(특별 장학금 수령 계좌번호 확인, 타인 통장 불가)"
"2,019",인제대학교,INJESTAR장학금,대학교,장학금,기타, - 학생취업처 취업진로과 055-334-3088,특정대학,"대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,대학신입생","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음",,," - 1,000,000원", - 인제대학교재학생 - INJE STAR Program의 마일리지 5개 영역에 이수 마일리지 최고 상위자에게 장학금 지급,," - 수행기간 : 2019-07-01~2019-12-31 * 장학금 지급시기 : 2020,03월~04월 (추후공지)", * 5가지 분야 - 진로 : 진로설정/종합심리검사 - 학력 : 복수전공/연계전공/부전공/학습 비교과 프로그램 - 실력 : 자격증 취득 - 경력 : 연수/인턴십/대외활동/비교과 프로그램 - 인성 : 인당글로벌 리더스 학부/인성교양학 전공/각종 봉사활동, - 각 50명씩,,, * 첨부파일 확인
"2,020",인제대학교,장학사정관제(인제장학생),대학교,장학금,기타, - 각 학과사무실,특정대학,"대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음",,," - S급: 2,000,000원 - A급: 1,500,000원 - B급: 1,000,000원(* 구분 항목별 체크사항이 하나일 경우 B, 복수 이상일 경우 A, 아동복지시설 출신 1인 가구 등 가계 정도가 심히 어려운 경우 S)"," - 부모의 사업 실패(폐업, 파산)나 실직으로 갑자기 가계가 곤란하게 된 경우 - 직계존속((조)부모) 또는 본인의 중대 질병과 건강 악화(최근 6개월 이내 1개월 이상 입원 치료 등)로 인해 가계가 어려운 경우 - 본인이 아동복지시설 출신인 경우 - 자연재해(지진 등) 천재지변의 피해를 입은 경우로써 그 피해를 증빙 가능한 경우",, - 2020-04-13 ~ 2020-04-24,,,, , - 인제장학생 선발 신청서 - 자기소개서 - 기타 증빙자료 * 자세한 사항은 첨부자료 확인 필수
"2,021",인제대학교,석호장학생,대학교,장학금,기타, - 학과 사무실 문의,특정대학,"대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상",사회계열, - 직전 학기 성적 평균평점 3.5 이상, - 가정 형편이 어려운 학생, - 100만원*교내외 장학금 수혜 여부와 상관없이 등록금 범위 초과 수혜 가능," - 인제대학교 사회과학계열 소속 학과(부)재학생으로 성적이 우수하며, 타의 모범이 되어 유능한 인재로 성장할 자질을 갖춘 학생 - 징계처분 등 결격사유가 없는 학생",, - 2018. 11. 06. (화) ~ 2018. 11. 16. (금) 14시 까지 ,, - 학과(부)별 선발 배정 인원 다름,, - 학과(부)장 또는 지도교수ㅇ 추천, - 장학생 지원서 - 장학생 추천서 - 자기소개서 - 성적증명서 - 기타 증빙자료(해당자에 한함)
